freq_hz,target_mvrms,measured_mvrms,error_mvrms,amp_code,atten_db,iterations,pass_fail,reason
111400000,100.0,100.7638,0.7638000000000034,929,9.5,1,PASS,within tolerance
111500000,10.0,9.0253,-0.9747000000000003,1023,29.5,1,PASS,within tolerance
111500000,20.0,19.502100000000002,-0.4978999999999978,1023,24.5,1,PASS,within tolerance
111500000,30.0,29.5522,-0.44780000000000086,1023,21.0,1,PASS,within tolerance
111500000,40.0,39.0945,-0.9055000000000035,1023,18.5,3,PASS,within tolerance
111500000,50.0,49.139700000000005,-0.8602999999999952,1001,16.5,1,PASS,within tolerance
111500000,60.0,59.2418,-0.7582000000000022,937,14.0,2,PASS,within tolerance
111500000,70.0,69.8233,-0.17669999999999675,920,12.5,2,PASS,within tolerance
111500000,80.0,79.2175,-0.7824999999999989,933,11.5,1,PASS,within tolerance
111500000,90.0,90.8439,0.843900000000005,948,10.5,1,PASS,within tolerance
111500000,100.0,100.1492,0.14919999999999334,916,9.5,2,PASS,within tolerance
111600000,10.0,10.597199999999999,0.5971999999999991,1023,29.5,1,PASS,within tolerance
111600000,20.0,20.5745,0.5745000000000005,1023,24.5,1,PASS,within tolerance
111600000,30.0,29.7306,-0.26940000000000097,1023,21.0,1,PASS,within tolerance
111600000,40.0,39.4224,-0.5775999999999968,1023,18.5,1,PASS,within tolerance
111600000,50.0,50.3881,0.38810000000000144,1001,16.5,1,PASS,within tolerance
111600000,60.0,60.110299999999995,0.11029999999999518,937,14.0,1,PASS,within tolerance
111600000,70.0,70.00670000000001,0.006700000000009254,920,12.5,1,PASS,within tolerance
111600000,80.0,80.8779,0.8778999999999968,933,11.5,1,PASS,within tolerance
111600000,90.0,89.71300000000001,-0.28699999999999193,929,10.5,2,PASS,within tolerance
111600000,100.0,99.9158,-0.08419999999999561,916,9.5,1,PASS,within tolerance
111700000,10.0,10.344000000000001,0.3440000000000012,1023,29.5,1,PASS,within tolerance
111700000,20.0,19.9302,-0.06980000000000075,1023,24.5,1,PASS,within tolerance
111700000,30.0,30.2442,0.2441999999999993,1023,21.0,1,PASS,within tolerance
111700000,40.0,40.580999999999996,0.580999999999996,1023,18.5,1,PASS,within tolerance
