t_s,ch3_v
-3.857968000000e-04,0.000000000e+00
-3.857944000000e-04,2.000000000e-02
-3.857920000000e-04,2.000000000e-02
-3.857896000000e-04,0.000000000e+00
-3.857872000000e-04,0.000000000e+00
-3.857848000000e-04,4.000000000e-02
-3.857824000000e-04,2.000000000e-02
-3.857800000000e-04,2.000000000e-02
-3.857776000000e-04,2.000000000e-02
-3.857752000000e-04,2.000000000e-02
-3.857728000000e-04,2.000000000e-02
-3.857704000000e-04,4.000000000e-02
-3.857680000000e-04,2.000000000e-02
-3.857656000000e-04,4.000000000e-02
-3.857632000000e-04,0.000000000e+00
-3.857608000000e-04,0.000000000e+00
-3.857584000000e-04,0.000000000e+00
-3.857560000000e-04,6.000000000e-02
-3.857536000000e-04,0.000000000e+00
-3.857512000000e-04,0.000000000e+00
-3.857488000000e-04,0.000000000e+00
-3.857464000000e-04,0.000000000e+00
-3.857440000000e-04,0.000000000e+00
-3.857416000000e-04,0.000000000e+00
-3.857392000000e-04,0.000000000e+00
-3.857368000000e-04,0.000000000e+00
-3.857344000000e-04,0.000000000e+00
-3.857320000000e-04,0.000000000e+00
-3.857296000000e-04,0.000000000e+00
-3.857272000000e-04,2.000000000e-02
-3.857248000000e-04,0.000000000e+00
-3.857224000000e-04,2.000000000e-02
-3.857200000000e-04,0.000000000e+00
-3.857176000000e-04,2.000000000e-02
-3.857152000000e-04,0.000000000e+00
-3.857128000000e-04,0.000000000e+00
-3.857104000000e-04,0.000000000e+00
-3.857080000000e-04,0.000000000e+00
-3.857056000000e-04,4.000000000e-02
-3.857032000000e-04,2.000000000e-02
-3.857008000000e-04,6.000000000e-02
-3.856984000000e-04,2.000000000e-02
-3.856960000000e-04,0.000000000e+00
-3.856936000000e-04,2.000000000e-02
-3.856912000000e-04,0.000000000e+00
-3.856888000000e-04,2.000000000e-02
-3.856864000000e-04,2.000000000e-02
-3.856840000000e-04,0.000000000e+00
-3.856816000000e-04,2.000000000e-02
-3.856792000000e-04,0.000000000e+00
-3.856768000000e-04,2.000000000e-02
-3.856744000000e-04,0.000000000e+00
-3.856720000000e-04,0.000000000e+00
-3.856696000000e-04,0.000000000e+00
-3.856672000000e-04,0.000000000e+00
-3.856648000000e-04,0.000000000e+00
-3.856624000000e-04,2.000000000e-02
-3.856600000000e-04,0.000000000e+00
-3.856576000000e-04,4.000000000e-02
-3.856552000000e-04,0.000000000e+00
-3.856528000000e-04,4.000000000e-02
-3.856504000000e-04,0.000000000e+00
-3.856480000000e-04,4.000000000e-02
-3.856456000000e-04,0.000000000e+00
-3.856432000000e-04,0.000000000e+00
-3.856408000000e-04,0.000000000e+00
-3.856384000000e-04,2.000000000e-02
-3.856360000000e-04,0.000000000e+00
-3.856336000000e-04,4.000000000e-02
-3.856312000000e-04,2.000000000e-02
-3.856288000000e-04,2.000000000e-02
-3.856264000000e-04,2.000000000e-02
-3.856240000000e-04,0.000000000e+00
-3.856216000000e-04,4.000000000e-02
-3.856192000000e-04,2.000000000e-02
-3.856168000000e-04,4.000000000e-02
-3.856144000000e-04,0.000000000e+00
-3.856120000000e-04,0.000000000e+00
-3.856096000000e-04,0.000000000e+00
-3.856072000000e-04,0.000000000e+00
-3.856048000000e-04,0.000000000e+00
-3.856024000000e-04,2.000000000e-02
-3.856000000000e-04,0.000000000e+00
-3.855976000000e-04,0.000000000e+00
-3.855952000000e-04,0.000000000e+00
-3.855928000000e-04,0.000000000e+00
-3.855904000000e-04,0.000000000e+00
-3.855880000000e-04,0.000000000e+00
-3.855856000000e-04,0.000000000e+00
-3.855832000000e-04,2.000000000e-02
-3.855808000000e-04,6.000000000e-02
-3.855784000000e-04,0.000000000e+00
-3.855760000000e-04,0.000000000e+00
-3.855736000000e-04,4.000000000e-02
-3.855712000000e-04,2.000000000e-02
-3.855688000000e-04,2.000000000e-02
-3.855664000000e-04,2.000000000e-02
-3.855640000000e-04,-2.000000000e-02
-3.855616000000e-04,2.000000000e-02
-3.855592000000e-04,0.000000000e+00
-3.855568000000e-04,0.000000000e+00
-3.855544000000e-04,0.000000000e+00
-3.855520000000e-04,4.000000000e-02
-3.855496000000e-04,4.000000000e-02
-3.855472000000e-04,0.000000000e+00
-3.855448000000e-04,0.000000000e+00
-3.855424000000e-04,0.000000000e+00
-3.855400000000e-04,0.000000000e+00
-3.855376000000e-04,2.000000000e-02
-3.855352000000e-04,2.000000000e-02
-3.855328000000e-04,0.000000000e+00
-3.855304000000e-04,0.000000000e+00
-3.855280000000e-04,0.000000000e+00
-3.855256000000e-04,0.000000000e+00
-3.855232000000e-04,0.000000000e+00
-3.855208000000e-04,0.000000000e+00
-3.855184000000e-04,0.000000000e+00
-3.855160000000e-04,2.000000000e-02
-3.855136000000e-04,2.000000000e-02
-3.855112000000e-04,0.000000000e+00
-3.855088000000e-04,0.000000000e+00
-3.855064000000e-04,0.000000000e+00
-3.855040000000e-04,4.000000000e-02
-3.855016000000e-04,4.000000000e-02
-3.854992000000e-04,0.000000000e+00
